AR_Bon,Winkel,WinkelNaam,Contract,Aankomst,Cont,Emb,Pap,Ret,Oz,Rolly,Bb,Tr,Mdw,Dd,Route,Dd_Lever,VanDC,Rollin,Dolly,Pllt
184001049,3754,Hortensialaan;Aalst,7/3/2023 10:57,7/3/2023 11:30,25,15,5,0,0,0,4,0,JUMBO\teunvlassak,7/3/2023 19:05,11196,7/3/2023,VEGRDCVERS,0,0,0
184001050,4875,Franciscus Romanusweg;Maastricht,7/3/2023 10:34,7/3/2023 10:34,0,26,1,0,0,2,16,0,JUMBO\teunvlassak,7/3/2023 19:02,11170,7/3/2023,VEGRDCVERS,0,0,0
184001051,6170,Rijksweg;Mook,7/3/2023 10:35,7/3/2023 10:45,16,6,0,0,0,0,2,0,JUMBO\teunvlassak,7/3/2023 19:03,11120,7/3/2023,VEGRDCVERS,0,0,0
184001052,8026,Grote Markt;Nijmegen,7/3/2023 10:30,7/3/2023 10:50,10,7,3,0,0,10,1,0,JUMBO\wesselthoonen,7/3/2023 14:09,11204,7/3/2023,VEGRDCVERS,0,0,0
184001053,4661,Azalealaan;Helmond,7/3/2023 9:41,7/3/2023 9:55,45,7,1,0,0,1,9,0,JUMBO\wesselthoonen,7/3/2023 14:11,11174,7/3/2023,VEGRDCVERS,0,0,0
184001054,1069,Luikersteenweg;Sinttruiden,7/3/2023 12:25,7/3/2023 11:45,31,6,0,0,0,10,0,0,JUMBO\teunvlassak,7/3/2023 21:13,11182,7/3/2023,VEGRDCVERS,0,0,1
184001055,5117,Schoolstraat;Reusel,7/3/2023 10:47,7/3/2023 11:48,15,18,0,0,0,0,6,0,JUMBO\teunvlassak,7/3/2023 19:05,11024,7/3/2023,VEGRDCVERS,0,0,0
184001056,3114,Sint Jorisplein;Schijndel,7/3/2023 10:02,7/3/2023 10:05,31,20,1,0,0,11,7,0,JUMBO\wesselthoonen,7/3/2023 14:11,11206,7/3/2023,VEGRDCVERS,0,0,1
184001077,3783,Heelweg;Dinxperlo,7/3/2023 11:10,7/3/2023 10:50,50,19,1,0,0,10,8,0,JUMBO\teunvlassak,7/3/2023 19:04,11183,7/3/2023,VEGRDCVERS,0,0,0
184001078,6331,Hoofdstraat;Landgraaf,7/3/2023 11:29,7/3/2023 11:56,10,13,1,0,0,0,6,0,JUMBO\teunvlassak,7/3/2023 18:57,11168,7/3/2023,VEGRDCVERS,0,0,0
