AR_Bon,Winkel,WinkelNaam,Contract,Aankomst,Cont,Emb,Pap,Ret,Oz,Rolly,Bb,Tr,Mdw,Dd,Route,Dd_Lever,VanDC,Rollin,Dolly,Pllt
352000288,4698,Oosterhof;Boxtel,12/18/2023 9:30,12/18/2023 10:05,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,12/18/2023 12:48,11505,12/18/2023,VEGRDCDKW4,0,0,0
352000289,5141,Moleneindplein;Vught,12/18/2023 10:10,12/18/2023 11:10,0,0,0,0,0,0,0,0,JUMBO\wesselthoonen,12/18/2023 12:48,11505,12/18/2023,VEGRDCDKW4,0,0,0
352000290,4897,Rooiseheide;Schijndel,12/18/2023 9:26,12/18/2023 8:14,26,16,1,0,0,21,4,0,JUMBO\wesselthoonen,12/18/2023 10:31,11509,12/18/2023,VEGRDCDKW4,0,0,0
352000326,1028,Sportlaan;Bree,12/18/2023 6:00,,0,0,0,0,0,0,0,0,,,11076,12/18/2023,VEGRDCVERS,0,0,0
352000327,7043,Carboonplein;Kerkrade,12/18/2023 6:00,12/18/2023 5:45,45,7,1,0,0,1,7,0,JUMBO\wesselthoonen,12/18/2023 10:39,11115,12/18/2023,VEGRDCVERS,0,0,0
352000328,4828,Europalaan;Winterswijk,12/18/2023 7:00,12/18/2023 6:50,30,26,0,0,0,2,6,0,JUMBO\wesselthoonen,12/18/2023 13:06,11074,12/18/2023,VEGRDCVERS,0,0,0
352000329,4670,Stadsplein;S-Heerenberg,12/18/2023 6:30,12/18/2023 6:30,25,19,2,0,0,11,8,0,JUMBO\wesselthoonen,12/18/2023 10:39,11171,12/18/2023,VEGRDCVERS,0,0,0
352000330,3656,Bloemenmarkt;Geleen,12/18/2023 6:00,12/18/2023 6:00,20,19,7,0,0,10,8,0,JUMBO\wesselthoonen,12/18/2023 10:34,11142,12/18/2023,VEGRDCVERS,0,0,0
352000331,3487,Kerkstraat;Panningen,12/18/2023 6:15,12/18/2023 6:10,31,22,3,0,0,0,7,0,JUMBO\wesselthoonen,12/18/2023 13:07,11149,12/18/2023,VEGRDCVERS,0,0,0
352000332,3113,Portbeemden; Eygelshoven,12/18/2023 7:00,12/18/2023 7:00,20,14,1,0,0,10,6,0,JUMBO\wesselthoonen,12/18/2023 13:07,11127,12/18/2023,VEGRDCVERS,0,0,0
352000333,6400,Loenenseweg;Eerbeek,12/18/2023 6:30,12/18/2023 6:30,10,23,8,0,0,6,9,0,JUMBO\wesselthoonen,12/18/2023 10:43,11104,12/18/2023,VEGRDCVERS,0,1,0
352000334,6193,het Straatje;Gennep,12/18/2023 6:00,12/18/2023 6:00,30,27,1,0,0,10,5,0,JUMBO\wesselthoonen,12/18/2023 10:40,11032,12/18/2023,VEGRDCVERS,0,0,0
352000335,6205,Walramplein;Valkenburg,12/18/2023 7:30,12/18/2023 7:40,20,14,0,0,0,0,2,0,JUMBO\wesselthoonen,12/18/2023 13:07,11175,12/18/2023,VEGRDCVERS,0,0,0
352000336,6537,Speelheuvelstraat;Someren,12/18/2023 6:00,12/18/2023 6:00,35,21,0,0,0,22,6,0,JUMBO\wesselthoonen,12/18/2023 10:45,11028,12/18/2023,VEGRDCVERS,0,0,0
352000337,6487,Adm de Ruyterstraat;Aalten,12/18/2023 7:00,12/18/2023 7:10,16,24,0,0,0,10,5,0,JUMBO\wesselthoonen,12/18/2023 10:37,11113,12/18/2023,VEGRDCVERS,0,0,0
352000338,3416,Julianaplein;Zetten,12/18/2023 6:00,12/18/2023 6:05,20,15,1,0,0,11,5,0,JUMBO\wesselthoonen,12/18/2023 10:39,11500,12/18/2023,VEGRDCVERS,0,0,0
