Vestiging;Naam vestiging;Datum;Afzet CE Totaal
3021;Emmen - Houtweg 296;08-04-2024;992
3021;Emmen - Houtweg 296;09-04-2024;903
3021;Emmen - Houtweg 296;10-04-2024;954
3021;Emmen - Houtweg 296;11-04-2024;1213
3021;Emmen - Houtweg 296;12-04-2024;1495
3021;Emmen - Houtweg 296;13-04-2024;1419
3021;Emmen - Houtweg 296;14-04-2024;960
3025;Huizen - De Kostmand 2;08-04-2024;607
3025;Huizen - De Kostmand 2;09-04-2024;563
3025;Huizen - De Kostmand 2;10-04-2024;835
3025;Huizen - De Kostmand 2;11-04-2024;574
3025;Huizen - De Kostmand 2;12-04-2024;873
3025;Huizen - De Kostmand 2;13-04-2024;929
3025;Huizen - De Kostmand 2;14-04-2024;415
3047;Alkmaar - J. Naberstraat 49-51;08-04-2024;1824
3047;Alkmaar - J. Naberstraat 49-51;09-04-2024;1557
3047;Alkmaar - J. Naberstraat 49-51;10-04-2024;1933
3047;Alkmaar - J. Naberstraat 49-51;11-04-2024;2036
3047;Alkmaar - J. Naberstraat 49-51;12-04-2024;2452
3047;Alkmaar - J. Naberstraat 49-51;13-04-2024;2729
3047;Alkmaar - J. Naberstraat 49-51;14-04-2024;1914
3048;Anna Paulowna - Molengang 10-14;08-04-2024;623
3048;Anna Paulowna - Molengang 10-14;09-04-2024;543
3048;Anna Paulowna - Molengang 10-14;10-04-2024;652
3048;Anna Paulowna - Molengang 10-14;11-04-2024;794
3048;Anna Paulowna - Molengang 10-14;12-04-2024;1112
3048;Anna Paulowna - Molengang 10-14;13-04-2024;1086
3048;Anna Paulowna - Molengang 10-14;14-04-2024;683
3049;Rotterdam - Sicilieboulevard 402;08-04-2024;678
3049;Rotterdam - Sicilieboulevard 402;09-04-2024;486
3049;Rotterdam - Sicilieboulevard 402;10-04-2024;750
3049;Rotterdam - Sicilieboulevard 402;11-04-2024;552
3049;Rotterdam - Sicilieboulevard 402;12-04-2024;1029
3049;Rotterdam - Sicilieboulevard 402;13-04-2024;1367
3049;Rotterdam - Sicilieboulevard 402;14-04-2024;891
3051;Delft - Troelstralaan 9;08-04-2024;1620
3051;Delft - Troelstralaan 9;09-04-2024;1597
3051;Delft - Troelstralaan 9;10-04-2024;1717
3051;Delft - Troelstralaan 9;11-04-2024;1690
3051;Delft - Troelstralaan 9;12-04-2024;2172
3051;Delft - Troelstralaan 9;13-04-2024;2032
3051;Delft - Troelstralaan 9;14-04-2024;1489
3052;Delft - Bastiaansplein 135;08-04-2024;1857
3052;Delft - Bastiaansplein 135;09-04-2024;1645
3052;Delft - Bastiaansplein 135;10-04-2024;2055
3052;Delft - Bastiaansplein 135;11-04-2024;2106
3052;Delft - Bastiaansplein 135;12-04-2024;2714
3052;Delft - Bastiaansplein 135;13-04-2024;2933
3052;Delft - Bastiaansplein 135;14-04-2024;2205
3053;Vlissingen - Hermesweg 25;08-04-2024;1225
3053;Vlissingen - Hermesweg 25;09-04-2024;992
3053;Vlissingen - Hermesweg 25;10-04-2024;1253
3053;Vlissingen - Hermesweg 25;11-04-2024;1035
3053;Vlissingen - Hermesweg 25;12-04-2024;1545
3053;Vlissingen - Hermesweg 25;13-04-2024;1406
3053;Vlissingen - Hermesweg 25;14-04-2024;1160
3054;Amsterdam - Buikslotermeerplein 52;08-04-2024;2211
3054;Amsterdam - Buikslotermeerplein 52;09-04-2024;2155
3054;Amsterdam - Buikslotermeerplein 52;10-04-2024;2346
3054;Amsterdam - Buikslotermeerplein 52;11-04-2024;2235
3054;Amsterdam - Buikslotermeerplein 52;12-04-2024;2795
3054;Amsterdam - Buikslotermeerplein 52;13-04-2024;2772
3054;Amsterdam - Buikslotermeerplein 52;14-04-2024;2186
3056;Barneveld - Amersfoortsestraat 70;08-04-2024;370
3056;Barneveld - Amersfoortsestraat 70;09-04-2024;385
3056;Barneveld - Amersfoortsestraat 70;10-04-2024;485
3056;Barneveld - Amersfoortsestraat 70;11-04-2024;472
3056;Barneveld - Amersfoortsestraat 70;12-04-2024;678
3056;Barneveld - Amersfoortsestraat 70;13-04-2024;708
3063;Terneuzen - Schuttershofweg 10;08-04-2024;775
3063;Terneuzen - Schuttershofweg 10;09-04-2024;924
3063;Terneuzen - Schuttershofweg 10;10-04-2024;853
3063;Terneuzen - Schuttershofweg 10;11-04-2024;1102
3063;Terneuzen - Schuttershofweg 10;12-04-2024;1177
3063;Terneuzen - Schuttershofweg 10;13-04-2024;1262
3063;Terneuzen - Schuttershofweg 10;14-04-2024;745
3064;Amersfoort - Pieter Stastokerf 6-8;08-04-2024;1183
3064;Amersfoort - Pieter Stastokerf 6-8;09-04-2024;1042
3064;Amersfoort - Pieter Stastokerf 6-8;10-04-2024;1183
3064;Amersfoort - Pieter Stastokerf 6-8;11-04-2024;1162
3064;Amersfoort - Pieter Stastokerf 6-8;12-04-2024;1658
3064;Amersfoort - Pieter Stastokerf 6-8;13-04-2024;1454
3064;Amersfoort - Pieter Stastokerf 6-8;14-04-2024;965
3065;Oosterhout - Zuiderhout 4-7a;08-04-2024;1137
3065;Oosterhout - Zuiderhout 4-7a;09-04-2024;909
3065;Oosterhout - Zuiderhout 4-7a;10-04-2024;1068
3065;Oosterhout - Zuiderhout 4-7a;11-04-2024;996
3065;Oosterhout - Zuiderhout 4-7a;12-04-2024;1392
3065;Oosterhout - Zuiderhout 4-7a;13-04-2024;1457
3065;Oosterhout - Zuiderhout 4-7a;14-04-2024;1062
3076;Nijmegen - Malvert 7023;08-04-2024;1021
3076;Nijmegen - Malvert 7023;09-04-2024;896
3076;Nijmegen - Malvert 7023;10-04-2024;1002
3076;Nijmegen - Malvert 7023;11-04-2024;938
3076;Nijmegen - Malvert 7023;12-04-2024;1112
3076;Nijmegen - Malvert 7023;13-04-2024;1290
3076;Nijmegen - Malvert 7023;14-04-2024;753
3081;Barneveld - Nieuwe Markt 5;08-04-2024;744
3081;Barneveld - Nieuwe Markt 5;09-04-2024;598
3081;Barneveld - Nieuwe Markt 5;10-04-2024;757
3081;Barneveld - Nieuwe Markt 5;11-04-2024;765
3081;Barneveld - Nieuwe Markt 5;12-04-2024;982
3081;Barneveld - Nieuwe Markt 5;13-04-2024;1178
3083;Deurne (NL) - Stationsstraat 43;08-04-2024;1090
3083;Deurne (NL) - Stationsstraat 43;09-04-2024;1022
3083;Deurne (NL) - Stationsstraat 43;10-04-2024;1124
3083;Deurne (NL) - Stationsstraat 43;11-04-2024;1239
3083;Deurne (NL) - Stationsstraat 43;12-04-2024;1680
3083;Deurne (NL) - Stationsstraat 43;13-04-2024;1732
3083;Deurne (NL) - Stationsstraat 43;14-04-2024;1300
3087;Rotterdam - Samuel Esmeijerplein 21;08-04-2024;1816
3087;Rotterdam - Samuel Esmeijerplein 21;09-04-2024;1594
3087;Rotterdam - Samuel Esmeijerplein 21;10-04-2024;1902
3087;Rotterdam - Samuel Esmeijerplein 21;11-04-2024;1824
3087;Rotterdam - Samuel Esmeijerplein 21;12-04-2024;2230
3087;Rotterdam - Samuel Esmeijerplein 21;13-04-2024;2288
3087;Rotterdam - Samuel Esmeijerplein 21;14-04-2024;1615
3090;Hilvarenbeek - Hilverstraat 99;08-04-2024;622
3090;Hilvarenbeek - Hilverstraat 99;09-04-2024;481
3090;Hilvarenbeek - Hilverstraat 99;10-04-2024;668
3090;Hilvarenbeek - Hilverstraat 99;11-04-2024;613
3090;Hilvarenbeek - Hilverstraat 99;12-04-2024;990
3090;Hilvarenbeek - Hilverstraat 99;13-04-2024;925
3090;Hilvarenbeek - Hilverstraat 99;14-04-2024;464
3091;Zoetermeer - Middelwaard 52;08-04-2024;1462
3091;Zoetermeer - Middelwaard 52;09-04-2024;1454
3091;Zoetermeer - Middelwaard 52;10-04-2024;1593
3091;Zoetermeer - Middelwaard 52;11-04-2024;1441
3091;Zoetermeer - Middelwaard 52;12-04-2024;1911
3091;Zoetermeer - Middelwaard 52;13-04-2024;1847
3091;Zoetermeer - Middelwaard 52;14-04-2024;1489
3092;Emmen - Statenweg 33;08-04-2024;1719
3092;Emmen - Statenweg 33;09-04-2024;1479
3092;Emmen - Statenweg 33;10-04-2024;1565
3092;Emmen - Statenweg 33;11-04-2024;1518
3092;Emmen - Statenweg 33;12-04-2024;1959
3092;Emmen - Statenweg 33;13-04-2024;1540
3092;Emmen - Statenweg 33;14-04-2024;1072
3094;Almere-Buiten - Detroitpad 1;08-04-2024;1514
3094;Almere-Buiten - Detroitpad 1;09-04-2024;1524
3094;Almere-Buiten - Detroitpad 1;10-04-2024;1774
3094;Almere-Buiten - Detroitpad 1;11-04-2024;1518
3094;Almere-Buiten - Detroitpad 1;12-04-2024;2112
3094;Almere-Buiten - Detroitpad 1;13-04-2024;2061
3094;Almere-Buiten - Detroitpad 1;14-04-2024;1713
3097;De Lier - Oranjeplein 40;08-04-2024;796
3097;De Lier - Oranjeplein 40;09-04-2024;795
3097;De Lier - Oranjeplein 40;10-04-2024;922
3097;De Lier - Oranjeplein 40;11-04-2024;1055
3097;De Lier - Oranjeplein 40;12-04-2024;1270
3097;De Lier - Oranjeplein 40;13-04-2024;1340
3097;De Lier - Oranjeplein 40;14-04-2024;771
3098;Almere-Haven - Jaagmeent 250;08-04-2024;982
3098;Almere-Haven - Jaagmeent 250;09-04-2024;993
3098;Almere-Haven - Jaagmeent 250;10-04-2024;969
3098;Almere-Haven - Jaagmeent 250;11-04-2024;1036
3098;Almere-Haven - Jaagmeent 250;12-04-2024;1283
3098;Almere-Haven - Jaagmeent 250;13-04-2024;1402
3098;Almere-Haven - Jaagmeent 250;14-04-2024;972
3099;Nijmegen - Leuvensbroek 1028;08-04-2024;1367
3099;Nijmegen - Leuvensbroek 1028;09-04-2024;1183
3099;Nijmegen - Leuvensbroek 1028;10-04-2024;1282
3099;Nijmegen - Leuvensbroek 1028;11-04-2024;1257
3099;Nijmegen - Leuvensbroek 1028;12-04-2024;1686
3099;Nijmegen - Leuvensbroek 1028;13-04-2024;1625
3099;Nijmegen - Leuvensbroek 1028;14-04-2024;922
3101;Tilburg - Amer 13;08-04-2024;704
3101;Tilburg - Amer 13;09-04-2024;545
3101;Tilburg - Amer 13;10-04-2024;743
3101;Tilburg - Amer 13;11-04-2024;617
3101;Tilburg - Amer 13;12-04-2024;986
3101;Tilburg - Amer 13;13-04-2024;1057
3101;Tilburg - Amer 13;14-04-2024;754
3109;Spijkenisse - Vlinderveen 436;08-04-2024;1560
3109;Spijkenisse - Vlinderveen 436;09-04-2024;1495
3109;Spijkenisse - Vlinderveen 436;10-04-2024;1563
3109;Spijkenisse - Vlinderveen 436;11-04-2024;1559
3109;Spijkenisse - Vlinderveen 436;12-04-2024;1983
3109;Spijkenisse - Vlinderveen 436;13-04-2024;2377
3109;Spijkenisse - Vlinderveen 436;14-04-2024;1518
3110;Lage Zwaluwe - Pastoor van Hooijdonklaan 3;08-04-2024;616
3110;Lage Zwaluwe - Pastoor van Hooijdonklaan 3;09-04-2024;707
3110;Lage Zwaluwe - Pastoor van Hooijdonklaan 3;10-04-2024;712
3110;Lage Zwaluwe - Pastoor van Hooijdonklaan 3;11-04-2024;525
3110;Lage Zwaluwe - Pastoor van Hooijdonklaan 3;12-04-2024;872
3110;Lage Zwaluwe - Pastoor van Hooijdonklaan 3;13-04-2024;834
3110;Lage Zwaluwe - Pastoor van Hooijdonklaan 3;14-04-2024;568
3112;Bergen op Zoom - Vogelaar 29;08-04-2024;1120
3112;Bergen op Zoom - Vogelaar 29;09-04-2024;871
3112;Bergen op Zoom - Vogelaar 29;10-04-2024;1007
3112;Bergen op Zoom - Vogelaar 29;11-04-2024;888
3112;Bergen op Zoom - Vogelaar 29;12-04-2024;1249
3112;Bergen op Zoom - Vogelaar 29;13-04-2024;1414
3112;Bergen op Zoom - Vogelaar 29;14-04-2024;1144
3113;Eygelshoven - Portbeemden 1;08-04-2024;1014
3113;Eygelshoven - Portbeemden 1;09-04-2024;957
3113;Eygelshoven - Portbeemden 1;10-04-2024;1110
