Date,Bb
2023-04-03,643
2023-04-04,362
2023-04-05,345
2023-04-06,375
2023-04-07,524
2023-04-08,652
2023-04-09,85
2023-04-10,503
2023-04-11,372
2023-04-12,448
2023-04-13,430
2023-04-14,525
2023-04-15,595
2023-04-16,43
2023-04-17,724
2023-04-18,392
2023-04-19,392
2023-04-20,415
2023-04-21,480
2023-04-22,608
2023-04-23,152
2023-04-24,677
2023-04-25,409
2023-04-26,415
2023-04-27,387
2023-04-28,489
2023-04-29,558
2023-04-30,141
2023-05-01,809
2023-05-02,463
2023-05-03,490
2023-05-04,546
2023-05-05,567
2023-05-06,694
2023-05-07,190
2023-05-08,911
2023-05-09,468
2023-05-10,415
2023-05-11,485
2023-05-12,572
2023-05-13,701
2023-05-14,99
2023-05-15,744
2023-05-16,494
2023-05-17,471
2023-05-18,511
2023-05-19,698
2023-05-20,737
2023-05-21,161
2023-05-22,902
2023-05-23,495
2023-05-24,463
2023-05-25,486
2023-05-26,562
2023-05-27,705
2023-05-28,120
2023-05-29,811
2023-05-30,596
2023-05-31,560
2023-06-01,529
2023-06-02,649
2023-06-03,729
2023-06-04,117
2023-06-05,945
2023-06-06,585
2023-06-07,564
2023-06-08,593
2023-06-09,671
2023-06-10,841
2023-06-11,248
2023-06-12,1068
2023-06-13,705
2023-06-14,707
2023-06-15,732
2023-06-16,836
2023-06-17,1008
2023-06-18,236
2023-06-19,1218
2023-06-20,773
2023-06-21,634
2023-06-22,692
2023-06-23,757
2023-06-24,865
2023-06-25,153
2023-06-26,1161
2023-06-27,803
2023-06-28,661
2023-06-29,638
2023-06-30,743
2023-07-01,794
2023-07-02,243
2023-07-03,1135
2023-07-04,670
2023-07-05,598
2023-07-06,643
2023-07-07,808
2023-07-08,928
2023-07-09,289
2023-07-10,1176
2023-07-11,756
2023-07-12,739
2023-07-13,733
2023-07-14,884
2023-07-15,985
2023-07-16,264
2023-07-17,1170
2023-07-18,752
2023-07-19,689
2023-07-20,670
2023-07-21,830
2023-07-22,936
2023-07-23,231
2023-07-24,1050
2023-07-25,690
2023-07-26,618
2023-07-27,619
2023-07-28,732
2023-07-29,822
2023-07-30,147
2023-07-31,1030
2023-08-01,614
2023-08-02,598
2023-08-03,567
2023-08-04,718
2023-08-05,765
2023-08-06,285
2023-08-07,958
2023-08-08,624
2023-08-09,570
2023-08-10,632
2023-08-11,703
2023-08-12,841
2023-08-13,123
2023-08-14,1073
2023-08-15,697
2023-08-16,681
2023-08-17,677
2023-08-18,866
2023-08-19,874
2023-08-20,227
2023-08-21,1106
2023-08-22,761
2023-08-23,665
2023-08-24,815
2023-08-25,838
2023-08-26,851
2023-08-27,265
2023-08-28,1073
2023-08-29,672
2023-08-30,602
2023-08-31,636
2023-09-01,731
2023-09-02,816
2023-09-03,265
2023-09-04,1024
2023-09-05,670
2023-09-06,573
2023-09-07,640
2023-09-08,803
2023-09-09,951
2023-09-10,281
2023-09-11,1246
2023-09-12,805
2023-09-13,709
2023-09-14,696
2023-09-15,797
2023-09-16,922
2023-09-17,119
2023-09-18,1163
2023-09-19,667
2023-09-20,593
2023-09-21,624
2023-09-22,631
2023-09-23,727
2023-09-24,224
2023-09-25,1003
2023-09-26,599
2023-09-27,557
2023-09-28,591
2023-09-29,663
2023-09-30,814
2023-10-01,263
2023-10-02,1010
2023-10-03,612
2023-10-04,548
2023-10-05,576
2023-10-06,683
2023-10-07,778
2023-10-08,245
2023-10-09,1072
2023-10-10,586
2023-10-11,568
2023-10-12,529
2023-10-13,669
2023-10-14,778
2023-10-15,236
2023-10-16,961
2023-10-17,577
2023-10-18,528
2023-10-19,567
2023-10-20,588
2023-10-21,648
2023-10-22,258
2023-10-23,992
2023-10-24,519
2023-10-25,484
2023-10-26,467
2023-10-27,561
2023-10-28,728
2023-10-29,237
2023-10-30,938
2023-10-31,548
2023-11-01,500
2023-11-02,525
2023-11-03,545
2023-11-04,779
2023-11-05,247
2023-11-06,920
2023-11-07,542
2023-11-08,479
2023-11-09,465
2023-11-10,613
2023-11-11,694
2023-11-12,221
2023-11-13,918
2023-11-14,559
2023-11-15,460
2023-11-16,519
2023-11-17,579
2023-11-18,686
