Date,Delivery Plant,Plant Name,Sales
01-04-2023,DC24,DC Breda,115245
02-04-2023,DC24,DC Breda,58940
03-04-2023,DC24,DC Breda,78057
04-04-2023,DC24,DC Breda,72182
05-04-2023,DC24,DC Breda,85024
06-04-2023,DC24,DC Breda,94426
07-04-2023,DC24,DC Breda,140226
08-04-2023,DC24,DC Breda,154871
09-04-2023,DC24,DC Breda,55152
10-04-2023,DC24,DC Breda,74160
11-04-2023,DC24,DC Breda,98676
12-04-2023,DC24,DC Breda,102556
13-04-2023,DC24,DC Breda,110290
14-04-2023,DC24,DC Breda,151771
15-04-2023,DC24,DC Breda,156589
16-04-2023,DC24,DC Breda,84046
17-04-2023,DC24,DC Breda,102721
18-04-2023,DC24,DC Breda,94297
19-04-2023,DC24,DC Breda,110204
20-04-2023,DC24,DC Breda,127747
21-04-2023,DC24,DC Breda,170113
22-04-2023,DC24,DC Breda,171900
23-04-2023,DC24,DC Breda,97442
24-04-2023,DC24,DC Breda,122760
25-04-2023,DC24,DC Breda,126281
26-04-2023,DC24,DC Breda,163569
27-04-2023,DC24,DC Breda,141562
28-04-2023,DC24,DC Breda,189933
29-04-2023,DC24,DC Breda,192528
30-04-2023,DC24,DC Breda,121229
01-05-2023,DC24,DC Breda,155027
02-05-2023,DC24,DC Breda,145589
03-05-2023,DC24,DC Breda,155521
04-05-2023,DC24,DC Breda,156007
05-05-2023,DC24,DC Breda,212298
06-05-2023,DC24,DC Breda,212450
07-05-2023,DC24,DC Breda,128880
08-05-2023,DC24,DC Breda,148918
09-05-2023,DC24,DC Breda,123670
10-05-2023,DC24,DC Breda,137695
11-05-2023,DC24,DC Breda,147295
12-05-2023,DC24,DC Breda,193965
13-05-2023,DC24,DC Breda,219341
14-05-2023,DC24,DC Breda,119534
15-05-2023,DC24,DC Breda,133650
16-05-2023,DC24,DC Breda,134260
17-05-2023,DC24,DC Breda,177053
18-05-2023,DC24,DC Breda,156599
19-05-2023,DC24,DC Breda,214636
20-05-2023,DC24,DC Breda,201113
21-05-2023,DC24,DC Breda,124591
22-05-2023,DC24,DC Breda,163284
23-05-2023,DC24,DC Breda,143364
24-05-2023,DC24,DC Breda,154979
25-05-2023,DC24,DC Breda,167809
26-05-2023,DC24,DC Breda,222147
27-05-2023,DC24,DC Breda,245666
28-05-2023,DC24,DC Breda,131711
29-05-2023,DC24,DC Breda,155492
30-05-2023,DC24,DC Breda,163490
31-05-2023,DC24,DC Breda,176108
01-06-2023,DC24,DC Breda,179510
02-06-2023,DC24,DC Breda,223590
03-06-2023,DC24,DC Breda,243568
04-06-2023,DC24,DC Breda,152719
05-06-2023,DC24,DC Breda,174657
06-06-2023,DC24,DC Breda,165580
07-06-2023,DC24,DC Breda,183670
08-06-2023,DC24,DC Breda,204578
09-06-2023,DC24,DC Breda,280837
10-06-2023,DC24,DC Breda,307988
11-06-2023,DC24,DC Breda,190678
12-06-2023,DC24,DC Breda,227146
13-06-2023,DC24,DC Breda,205138
14-06-2023,DC24,DC Breda,211727
15-06-2023,DC24,DC Breda,216558
16-06-2023,DC24,DC Breda,271822
17-06-2023,DC24,DC Breda,282373
18-06-2023,DC24,DC Breda,145689
19-06-2023,DC24,DC Breda,182965
20-06-2023,DC24,DC Breda,181388
21-06-2023,DC24,DC Breda,191032
22-06-2023,DC24,DC Breda,176026
23-06-2023,DC24,DC Breda,255246
24-06-2023,DC24,DC Breda,270965
25-06-2023,DC24,DC Breda,179537
26-06-2023,DC24,DC Breda,191230
27-06-2023,DC24,DC Breda,170640
28-06-2023,DC24,DC Breda,177835
29-06-2023,DC24,DC Breda,185166
30-06-2023,DC24,DC Breda,233966
01-07-2023,DC24,DC Breda,225089
02-07-2023,DC24,DC Breda,139907
03-07-2023,DC24,DC Breda,169352
04-07-2023,DC24,DC Breda,162555
05-07-2023,DC24,DC Breda,165118
06-07-2023,DC24,DC Breda,191556
07-07-2023,DC24,DC Breda,264660
08-07-2023,DC24,DC Breda,288222
09-07-2023,DC24,DC Breda,159560
10-07-2023,DC24,DC Breda,196723
11-07-2023,DC24,DC Breda,188571
